,0,really scifi,scifi_probability,preds
36,The Big Blackmail,0,0.7335631792630228,0
147,Crime of Violence ,0,0.7335631792630228,0
15,A journey in other worlds,1,0.7335631792630228,0
13,The Martian Chronicles,1,0.7354448892764154,0
175,The Case of the Painted Girl,0,0.7389391845874356,0
90,The Lair of the White Worm,0,0.7389391845874356,0
91,The Benson murder case,0,0.7389391845874356,0
184,The Dead Smile,0,0.7389391845874356,0
18,When they come from space,1,0.7389391845874356,0
123,The metal monster,1,0.7389391845874356,0
119,The Shooting Star,1,0.7389391845874356,0
94,A Witch Shall Be Born,0,0.7389391845874356,0
3,The Dutch shoe mystery,0,0.7389391845874356,0
16,A romance of two worlds,1,0.7389391845874356,0
107,Dark Passage,0,0.7389391845874356,0
179,The time machine;,1,0.7389391845874356,0
99,Horla,0,0.7389391845874356,0
115,The case of Jennie Brice,0,0.7389391845874356,0
100,The great war syndicate,1,0.7389391845874356,0
176,The Mystery of Marie Roget,0,0.7389391845874356,0
132,Recollections of a Detective Police-Officer,0,0.7389391845874356,0
7,The green man,1,0.7389391845874356,0
11,The Tree of Life,1,0.7389391845874356,0
8,The Horror-Horn,0,0.7389391845874356,0
141,The scarlet plague,1,0.7389391845874356,0
135,The Lost Door,0,0.7389391845874356,0
133,The twenty-six clues,0,0.7389391845874356,0
85,"Looking backward, 2000-18",1,0.7389391845874356,0
86,The Albert Gate mystery,0,0.7389391845874356,0
47,The golden tress,0,0.7389391845874356,0
165,The black castle,0,0.7389391845874356,0
161,The Ghost Pirates,0,0.7389391845874356,1
40,The time stream,1,0.7389391845874356,1
160,Queen of the Black Coast,0,0.7389391845874356,1
37,The Call of Cthulhu,1,0.7389391845874356,1
156,Leaves from the note-book,0,0.7389391845874356,1
35,The Elixir Of Life,0,0.7389391845874356,1
34,A Millionaire Mystery,0,0.7389391845874356,1
124,The return of Sherlock Holmes,0,0.7389391845874356,1
33,Strange Motives,0,0.7389391845874356,1
87,Modern ghost stories,0,0.7389391845874356,1
66,The Maltese Falcon,0,0.7389391845874356,1
30,Something wicked this way,0,0.7389391845874356,1
32,The dream doctor,0,0.7389391845874356,1
28,The Cinema Crime,0,0.7389391845874356,1
45,Brain Wave,1,0.7389391845874356,1
144,Yermah the Dorado,1,0.7389391845874356,1
83,The poisoned pen,0,0.7389391845874356,1
80,Seven were Suspect,0,0.7389391845874356,1
79,The Face in the Mask,1,0.7389391845874356,1
145,Mission to the moon,1,0.7389391845874356,1
69,The Cosmic Computer,1,0.7389391845874356,1
77,Enterprise Stardust,1,0.7389391845874356,1
146,The Phantom Ship,0,0.7389391845874356,1
148,Farewell horizontal,1,0.7389391845874356,1
25,Fahrenheit 451,1,0.7389391845874356,1
26,Beyond compare,0,0.7389391845874356,1
169,The Red Lodge,0,0.7389391845874356,1
131,The Man-Wolf,0,0.7411944990417212,1
56,First Contact,1,0.7411944990417212,1
111,Talented Mr. Ripley,0,0.7411944990417212,1
9,Dr. Jekyll and Mr. Hyde,0,0.7411944990417212,1
130,It can't happen here,1,0.7454504215955198,1
0,The Face,0,0.7454504215955198,1
185,The Two Who Talked,0,0.7454504215955198,1
44,The gold bag,0,0.7454504215955198,1
140,The Haunting of Hill House,0,0.7519939708763772,1
70,Crime marches on,0,0.7524172233847117,1
54,Look Up There!,0,0.7535320392889922,1
127,Psycho,0,0.7551882778358271,1
182,The second confession,0,0.7593373746250374,1
125,Messenger to Infinity,1,0.7593373746250374,1
142,Son of the stars,1,0.7593373746250374,1
97,Picture of Dorian Gray,0,0.7640156683520692,1
117,The Willows,0,0.7662107032985682,1
38,Dealings with the dead;,0,0.7662107032985682,1
14,The Legion of Space,1,0.7696388559222391,1
5,The first men in the moon,1,0.7710005060352263,1
67,Dreamland and ghostland,0,0.7710005060352263,1
158,A Visitor from Down Under,0,0.7711334890978238,1
59,The footsteps at the lock,0,0.7711334890978238,1
41,Shadows in the Moonlight,0,0.7728166871314999,1
170,The Purple Cloud ,1,0.7742933377622973,1
152,The gloved hand;,0,0.7745107002120125,1
96,"Frankenstein; or, The Modern Prometheus",0,0.7745107002120125,1
2,Voyage To Arcturus,1,0.7745107002120125,1
24,Northanger Abbey,0,0.7745107002120125,1
122,Unwise child,1,0.7745107002120125,1
84,The Exile of the Skies,1,0.7745107002120125,1
74,The Monk,0,0.7745107002120125,1
105,Fast One,0,0.7748259328047324,1
95,The White People,0,0.7761195617827769,1
151,The woman who vowed,1,0.7783825677199249,1
101,Revi-Lona,1,0.7783825677199249,1
136,The stillwater tragedy,0,0.7783825677199249,1
62,Out of the silence,1,0.779237123066427,1
57,The Mississippi Saucer,1,0.7818050772205056,1
39,The lad and the lion,1,0.784324481236504,1
129,The amateur cracksman,0,0.784324481236504,1
58,The Harder They Fall,0,0.784324481236504,1
89,The Masque of the Red Death,0,0.7852453891504564,1
153,The purple cloud,1,0.7919238217681565,1
75,Tunnel in the Sky,1,0.7928664362738792,1
88,The Hour of the Dragon,0,0.7929084258430001,1
112,Double Indemnity ,0,0.793854919548537,1
1,The Case of the Glamorous Ghost ,0,0.7967987563936693,1
167,The Phantom Rickshaw,0,0.8001890332988887,1
73,The Invisible Eye,0,0.8001890332988887,1
171,Hartmann the anarchist,1,0.8001890332988887,1
10,Slan,1,0.8008533866177721,1
177,Fishhead,0,0.8008533866177721,1
60,Last men in London,1,0.8031693053923193,1
23,The haunted hotel,0,0.8053927503022902,1
49,The doomsday men,1,0.8061158960174697,1
178,The prince of peril,1,0.8074080103910372,1
162,The Treasure of Red-Ash Desert,1,0.8074080103910372,1
52,The mortgage on the brain,1,0.8074080103910372,1
6,The Return,0,0.8142850898913526,1
98,Twenty thousand leagues under the sea,1,0.8263199832386928,1
92,Is he the man?,0,0.8402205909931678,1
78,The Lancashire witches,0,0.8548765965111725,1
172,From the Earth to the Moon,1,0.8615401169604722,1
113,Old Mr. Wiley,1,0.8825811341972282,1
180,The widow Lerouge,0,0.8885100774235857,1
