,0,really crime,crime_probability,preds
113,Crime of Violence ,1,0.7434424406145888,1
112,Last men in London,0,0.7434424406145888,1
111,Unwise child,0,0.7434424406145888,1
110,The Mississippi Saucer,0,0.7434424406145888,1
127,The solar invasion,0,0.7508012145824849,1
116,The Tapestried Chamber,0,0.7557434879245967,1
94,Talented Mr. Ripley,1,0.758525679337418,1
182,Theodore savage,0,0.7612951903070613,1
34,The Shooting Star,0,0.7646903042253146,1
181,The Red Lodge,0,0.7646903042253146,1
145,Vathek,0,0.7646903042253146,1
106,The angel of the revolution,0,0.7714026168182426,1
173,The Death of Halpin Frayser,0,0.7714026168182426,1
100,The Legion of Time,0,0.7753118477502537,1
6,By Snare of Love,1,0.7781030524535244,1
24,The Amphibians,0,0.7781030524535244,1
124,The Man who Stopped Dust,0,0.7781030524535244,1
19,The Cosmic Computer,0,0.7781030524535244,1
137,Land of terror,0,0.7781030524535244,1
4,The nonborn king,0,0.7781030524535244,1
171,50 to 1,1,0.7781030524535244,1
143,The Treasure of Abbot Thomas,0,0.7781030524535244,1
163,The gold bag,1,0.7781030524535244,1
126,Pellucidar,0,0.7794790633339869,1
123,The Hour of the Dragon,0,0.7887091500887817,1
120,Knots untied,1,0.7924054305951954,1
158,Terror at Staups House,1,0.8060135731697606,1
17,The narrative of Arthur G,0,0.8062235544987265,1
132,The lad and the lion,0,0.8062235544987265,1
170,Double Indemnity ,1,0.8062235544987265,1
121,Skylark three,0,0.8062235544987265,1
20,I am legend,0,0.8062235544987265,1
135,The purple cloud,0,0.8092823022457898,1
48,The Killer Inside Me,1,0.8105370631501096,1
75,The Martian Chronicles,0,0.8205700431788332,1
63,Strange Motives,1,0.8205700431788332,1
43,My sweet Audrina,0,0.8369315132915918,1
81,The Maltese Falcon,1,0.8375925504749133,1
9,Crime marches on,1,0.8639163641317216,1
30,"Looking backward, 2000-18",0,0.8639163641317216,1
166,The Red Thumb Mark,1,0.8639163641317216,1
167,Strangers in a Strange Time,0,0.8679950443453585,1
37,When the sleeper wakes,0,0.8756502756536987,1
