Title,"Genre (Crime ,Horror, Weird, Science Fiction)",Year,Novel or SS,Pulp or not?
The gloved hand;,Crime ,1921,novel,no
The people of the ruins,Science Fiction,1920,novel,no
Theodore savage,Science Fiction,1922,novel,no
Well-- who killed him?,Crime ,1922,novel,no
The chessmen of Mars,Science Fiction,1922,novel,no
Pellucidar,Science Fiction,1923,novel,no
Men like gods,Science Fiction,1923,novel,no
The moon men,Science Fiction,1925,novel,no
The Benson murder case,Crime ,1888,novel,no
Out of the silence,Science Fiction,1928,novel ,no
The master mind of Mars,Science Fiction,1928,novel ,no
The footsteps at the lock,Crime ,1928,novel ,no
The monster men,Science Fiction,1929,novel ,no
The planet of peril,Science Fiction,1929,novel ,no
Tanar of Pellucidar,Science Fiction,1929,novel ,no
Maza of the moon,Science Fiction,1930,novel ,no
Last and first men,Science Fiction,1930,novel ,no
The prince of peril,Science Fiction,1930,novel ,no
The night life of the god,Science Fiction,1931,novel ,no
Black no more,Science Fiction,1931,novel ,no
The Cape Cod mystery,Crime ,1931,novel ,no
The Dutch shoe mystery,Crime ,1931,novel ,yes
Face in the abyss,Science Fiction,1931,novel ,no
Brigands of the moon,Science Fiction,1931,novel ,no
Last men in London,Science Fiction,1932,novel ,no
It can't happen here,Science Fiction,1935,novel ,no
Star-begotten,Science Fiction,1937,novel ,no
The harvest murder,Crime ,1937,novel ,no
The doomsday men,Science Fiction,1938,novel ,no
To wake the dead,Crime ,1938,novel ,no
The lad and the lion,Science Fiction,1938,novel ,no
Mountain cat Murders,Crime ,1939,novel ,no
The metal monster,Science Fiction,1941,novel ,no
The case of the empty tin,Crime ,1942,novel ,no
Darkness and the light,Science Fiction,1942,novel ,no
Land of terror,Science Fiction,1944,novel ,no
The time stream,Science Fiction,1946,novel ,no
The green man,Science Fiction,1946,novel ,no
The silent speaker,Crime ,1946,novel ,no
Anthem,Science Fiction,1946,novel ,no
The solar invasion,Science Fiction,1946,novel ,no
Slan,Science Fiction,1946,novel ,no
The shadow girl,Science Fiction,1946,novel ,no
The Cosmic Computer,Science Fiction,1963,SS,yes
Second Variety,Science Fiction,1953,SS,yes
Planet of Adventure,Science Fiction,1968,SS,yes
Tunnel in the Sky,Science Fiction,1955,SS,yes
Judgement Night,Science Fiction,1952,SS,yes
Hothouse,Science Fiction,1962,SS,yes
On Basilisk Station,Science Fiction,1993,SS,yes
The Legion of Time,Science Fiction,1962,SS,yes
The Adventures of the Stainless Steel Rat,Science Fiction,1961,SS,yes
Triplanetary,Science Fiction,1934,SS,yes
Skyracos: The Mining Mess ,Science Fiction,2013,SS,yes
Armageddon 2419 A.D.,Science Fiction,1928,SS,yes
Enterprise Stardust,Science Fiction,1969,SS,yes
Doc Savage: the Man of Bronze,Science Fiction,1933,SS,yes
Bill the Galactic hero,Science Fiction,1965,SS,yes
The Call of Cthulhu,Science Fiction,1928,SS,yes
The forbidden garden,Science Fiction,1947,novel,no
Skylark three,Science Fiction,1948,novel,no
Nineteen eighty-four,Science Fiction,1949,novel,no
The second confession,Crime ,1949,novel,no
The Amphibians,Science Fiction,1949,novel,no
Son of the stars,Science Fiction,1952,novel,no
Fahrenheit 451,Science Fiction,1953,novel,no
The star beast,Science Fiction,1954,novel,no
Step to the stars,Science Fiction,1954,novel,no
I am legend,Horror,1954,novel,no
Mission to the moon,Science Fiction,1956,novel,no
The black cloud,Science Fiction,1957,novel,no
Doomsday morning,Science Fiction,1957,novel,no
Psycho,Horror,1959,novel,no
The Haunting of Hill House,Horror,1959,novel,no
Dark universe,Science Fiction,1961,novel,no
Unwise child,Science Fiction,1962,novel,no
Something wicked this way,Horror,1962,novel,no
When they come from space,Science Fiction,1962,novel,no
Cat's Cradle,Science Fiction,1963,novel,no
Code three,SCience Fiction,1965,novel,no
The eyes of Heisenberg,Science Fiction,1966,novel,no
Dagon,Horror,1968,novel,no
Downward to the earth,Science Fiction,1970,novel,no
Gray matters,Science Fiction,1971,novel,no
A dog's ransom,Crime ,1972,novel,yes
Butcher's moon,Crime ,1974,novel,yes
The fury,Horror,1976,novel,no
A world out of time,Science Fiction,1976,novel,no
Suffer the children,Horror,1977,novel,no
A scanner darkly,Science Fiction,1977,novel,no
Colony,Science Fiction,1978,novel,no
The black castle,Horror,1978,novel,no
The stand,Horror,1978,novel,no
Shallows of night,Science Fiction,1978,novel,no
The last President,Science Fiction,1980,novel,no
Petals on the wind,Horror,1980,novel,no
The entropy effect,Science Fiction,1981,novel,no
No enemy but time,Science Fiction,1982,novel,no
My sweet Audrina,Horror,1982,novel,no
The nonborn king,Science Fiction,1983,novel,no
Artifact,Science Fiction,1985,novel,no
The forever man,Science Fiction,1986,novel,no
Misery,Horror,1987,novel,no
Wheel of the winds,Science Fiction,1988,novel,no
Farewell horizontal,Science Fiction,1989,novel,no
The Legion of Space,Science Fiction,1934,novel,yes
At the Mountains of Madness,Science Fiction,1936,novel,yes
"I, Robot",Science Fiction,1950,novel,yes
Slan,Science Fiction,1946,novel,yes
The Shooting Star,Science Fiction,1941,novel,yes
Foundation,Science Fiction,1951,novel,yes
First Contact,Science Fiction,1945,novel,yes
The Martian Chronicles,Science Fiction,1946,novel,yes
The Space Merchants,Science Fiction,1952,novel,yes
Mission of Gravity,Science Fiction,1953,novel,yes
Brain Wave,Science Fiction,1953,novel,yes
The Face in the Mask,Science Fiction,1961,novel,yes
The Exile of the Skies,Science Fiction,1934,novel,yes
Web of Moons,Science Fiction,1942,novel,yes
One Hundred Generations,Science Fiction,1935,novel,yes
Strangers in a Strange Time,Science Fiction,1947,novel,yes
The Far Way,Science Fiction,1935,novel,yes
The Impossible Highway,Science Fiction,1940,novel,yes
Secret of the Sun ,Science Fiction,1939,novel,yes
The Man who Stopped Dust,Science Fiction,1934,novel,yes
The Treasure of Red-Ash Desert,Science Fiction,1942,novel,yes
Messenger to Infinity,Science Fiction,1942,novel,yes
No Good from a Corpse,Crime ,1944,novel,yes
Honey in his Mouth,Crime ,1944,novel,yes
The Case of the Glamorous Ghost ,Crime ,1950,novel,yes
The Big Sleep,Crime ,,novel,yes
The Thin Man,Crime ,,novel,yes
Farewell my Lovely,Crime ,,novel,yes
The Postman always rings twice,Crime ,,novel,yes
Fast One,Crime ,,novel,yes
The Maltese Falcon,Crime ,,novel,yes
Lady and the Lake,Crime ,,novel,yes
Red Harvest,Crime ,,novel,yes
Double Indemnity ,Crime ,,novel,yes
Eye of the Jury ,Crime ,,novel,yes
In a Lonely Place,Crime ,,novel,yes
Talented Mr. Ripley,Crime ,,novel,yes
The Killer Inside Me,Crime ,,novel,yes
A poor wise man,Crime ,,novel,yes
The Haunted Lady,Crime ,,novel,yes
The wounded and the slain,Crime ,,novel,yes
Deadly beloved,Crime ,,novel,yes
Long live the dead,Crime ,,novel,yes
Bunny Lake is missing,Crime ,,novel,yes
The Executioners ,Crime ,,novel,yes
Dark Passage,Crime ,,novel,yes
Crime marches on,Crime ,,novel,yes
Triangle of sin,Crime ,,novel,yes
50 to 1,Crime ,,novel,yes
The Harder They Fall,Crime ,,novel,yes
Trouble is my Business,Crime ,,novel,yes
Strangers on a Train,Crime ,,novel,yes
The Tattooed Lovely,Crime ,,novel,yes
Deliver the Dead,Crime ,,novel,yes
Murder in the Mirror,Crime ,,novel,yes
