id,source,source_id,author,year,gender,genre,title,format,catalogue_numbers,,riddell,gutenberg,underwood
1558,20100817,1821A043,"Miss C. D. HAYNES [afterwards GOLLAND, Mrs C. D.]",1821,Female,?|potgoth|romance,"ELEANOR; OR, THE SPECTRE OF ST. MICHAEL'S. A ROMANTIC TALE. IN FIVE VOLUMES. BY MISS C. D. HAYNES, AUTHOR OF CASTLE LE BLANC; FOUNDLING OF DEVONSHIRE; AUGUSTUS AND ADELINA, &C. &C",5 vols (I 276p; II 257p; III 259p; IV 246p; V 278p). 12&deg;,Corvey; CME 3-628-47716-6; ECB 260; EN2 1821: 45; NSTC 2H14180; xOCLC,,x,,
1815,20100817,1824A056,Hannah Maria JONES,1824,Female,potgoth,"THE FORGED NOTE: OR, JULIAN AND MARIANNE. A MORAL TALE, FOUNDED ON RECENT FACTS. BY MRS. H. M. JONES, AUTHORESS OF GRETNA GREEN,&#8212;WEDDING RING,&#8212;BRITISH OFFICER, &C","1 vol.  (661p, ill.). 8&deg;",BL 1570/1499; EN2 1824: 55; NSTC 2J10424; OCLC 28894352,,x,,
1840,20100817,1824A081,Regina Maria ROCHE,1824,Female,potgoth,"THE TRADITION OF THE CASTLE; OR, SCENES IN THE EMERALD ISLE. IN FOUR VOLUMES. BY REGINA MARIA ROCHE, AUTHOR OF THE CHILDREN OF THE ABBEY, VICAR OF LANSDOWN, MAID OF THE HAMLET, &C",4 vols (I 386p; II 364p; III 342p; IV 322p). 12&deg;,Corvey; CME 3-628-48464-2; ECB 498; EN2 1824: 80; NSTC 2D1381; OCLC 7032047,,x,,
2795,20110421,1835:103,"[SULLIVAN, Arabella Jane]; DACRE, Lady [Barbarina] (editor)",1835,Female,?|potgoth,TALES OF THE PEERAGE AND PEASANTRY. EDITED BY LADY DACRE. IN THREE VOLUMES.,,,,x,,
3002,20111110,1788:72,"SMITH, Charlotte",1788,Female,pregoth,"EMMELINE, THE ORPHAN OF THE CASTLE. BY CHARLOTTE SMITH. IN FOUR VOLUMES",,,,x,x,x
3004,20111110,1794:47:00,"RADCLIFFE, Ann",1794,Female,goth,"THE MYSTERIES OF UDOLPHO, A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY. BY ANN RADCLIFFE, AUTHOR OF THE ROMANCE OF THE FOREST, ETC. IN FOUR VOLUMES",,,,x,x,x
3005,20111110,1791:58:00,"[RADCLIFFE, Ann]",1791,Female,goth,"THE ROMANCE OF THE FOREST: INTERSPERSED WITH SOME PIECES OF POETRY. BY THE AUTHORESS OF ‰ÛÏA SICILIAN ROMANCE,‰Û &C. IN THREE VOLUMES.",,,,x,,x
3008,20111110,1797:70,"RADCLIFFE, Ann",1797,Female,goth,"THE ITALIAN, OR THE CONFESSIONAL OF THE BLACK PENTITENTS. A ROMANCE. BY ANN RADCLIFFE, AUTHOR OF THE MYSTERIES OF UDOLPHO, &C. &C. IN THREE VOLUMES.",,,,x,,
3009,20111110,1793:39:00,"SMITH, Charlotte",1793,Female,pregoth,"THE OLD MANOR HOUSE. A NOVEL, IN FOUR VOLUMES. BY CHARLOTTE SMITH.",,,,x,,
3003,20111110,1790:61,"[RADCLIFFE, Ann]",1790,Female,goth,A SICILIAN ROMANCE. BY THE AUTHORESS OF THE CASTLES OF ATHLIN AND DUNBAYNE. IN TWO VOLUMES.,,,,,x,x
