id,source,source_date_accessed,source_id,short_title,author,year,genre,gender,translator,title,publication,format,catalogue_numbers,notes,further_editions,riddell,gutenberg,underwood
1268,GARSIDE1800-1829,20100817,1817A013,Alexena,Nugent BELL,1817,?|castle,Male,,"ALEXENA; OR, THE CASTLE OF SANTA MARCO, A ROMANCE, IN THREE VOLUMES. EMBELLISHED WITH ENGRAVINGS","London:                     Printed at the Minerva Press, for A. K. Newman and Co. Leadenhall-St., 1817","3 vols (I 287p, ill.; II 300p, ill.; III 219p, ill.). 12&deg;",ViU PZ2.A445.1817; EN2 1817: 13; xNSTC; OCLC 6617541,"Dedication 'to the Right Honourable W. Windham, M.P.'",,x,,
1340,GARSIDE1800-1829,20100817,1818A030,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1818,goth,Male,George SOANE,"UNDINE, A ROMANCE. TRANSLATED FROM THE GERMAN. BY GEORGE SOANE, A.B","London:                     Printed for W. Simpkin, and R. Marshall, Stationer's Court, Ludgate Street, 1818",1 vol.  (205p). 12&deg;,BL 12548.dd.4; ECB 213; EN2 1818: 30; NSTC 2L2885; OCLC 6875258,"Trans. of <i>Undine</i> (Berlin, 1811). Dedication to 'Edward Knight, Esq. of the Theatre Royal, Drury Lane'. 'Advertisement' begins: 'It may be right to observe, that in translating this work, I have taken neither few nor trifling liberties with the original'. ECB gives co-publisher as Bell & B[radfute], Edinburgh, but no copy discovered with this imprint","1830 (NSTC); 1843 (NSTC); 1844 (NSTC); Philadelphia 1824 (NSTC); French trans., 1819. Numerous later American and British translations",,x,
1347,GARSIDE1800-1829,20100817,1818A037,"Brownie of Bodsbeck, The",James HOGG,1818,goth,Male,,"THE BROWNIE OF BODSBECK; AND OTHER TALES. BY JAMES HOGG, AUTHOR OF ""THE QUEEN'S WAKE,"" &C. &C. IN TWO VOLUMES","Edinburgh:                     Printed for William Blackwood, Prince's-Street: and John Murray, Albemarle-Street, London, 1818","2 vols (I xii, 295p, music; II 346p). 12&deg;",Corvey; CME 3-628-51047-3; ECB 276; EN2 1818: 37; NSTC 2H25690; OCLC 13609253,"Dedication in verse 'to the Right Honourable Lady Anne Scott, of Buccleuch', dated Eltrive Lake, 1 Apr 1818. The other tales are: 'The Wool-Gatherer', vol. 2, pp. [89]&ndash;228; 'The Hunt of Eildon', vol. 2, pp. [231]&ndash;346. Song with music facing p. 291 of vol. 1",New York 1818 (OCLC),,x,
1358,GARSIDE1800-1829,20100817,1818A048,Nightmare Abbey,Thomas Love PEACOCK,1818,potgoth,Male,,NIGHTMARE ABBEY: BY THE AUTHOR OF HEADLONG HALL,"London:                     Printed for T. Hookham, jun. Old Bond-Street; and Baldwin, Cradock, and Joy, Paternoster-Row, 1818",1 vol.  (218p). 12&deg;,Corvey; CME 3-628-48228-3; ECB 414; EN2 1818: 48; NSTC 2P8180; OCLC 6968795,,"1837 (NSTC); Philadelphia 1819 (OCLC); German trans., 1819 [as <i>Die Burg Alphausen, oder Zyprians Frauenwahl</i> (RS)]",,x,
1365,GARSIDE1800-1829,20100817,1818A055,Rob Roy,Sir Walter SCOTT,1818,goth,Male,,"ROB ROY. BY THE AUTHOR OF ""WAVERLEY,"" ""GUY MANNERING,"" AND ""THE ANTIQUARY."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1818","3 vols (I viii, 321p; II 324p; III 348p). 12&deg;",BL Cup.400.b.40; ECB 495; EN2 1818: 55; NSTC 2S10179; OCLC 24119665,,"2nd edn' 1818 (NSTC); '3rd edn' 1818 (Corvey), CME 3-628-48584-3; 4th edn 1818 (NSTC); 1821 (NSTC); New York 1818 (NSTC) [also Philadelphia 1818 (NSTC)]; French trans., 1818 [as <i>Robert le Rouge Mac-Gregor, ou les montagnards Þ¸cossais</i> (NSTC)]; German trans., 1819 [as <i>Robin, der Rothe</i> (NSTC)]. Numerous reprintings in collected edns",,x,
1403,GARSIDE1800-1829,20100817,1819A031,"Necromancer, The",,1819,?|potgoth,Male,,"THE NECROMANCER. COMPRISING A SERIES OF WONDERFUL EVENTS, FOUNDED ON FACT. TRANSLATED FROM A NEW GERMAN WORK, BY T. DUTTON, ESQ","London:                     Printed and published by T. Garland, 1819",1 vol.  (119p). 12&deg;,BL 1077.d.52; EN2 1819: 32; NSTC 2D23815; xOCLC,"No German original discovered. Colophon reads: 'T. Garland, Printer, Battle, Sussex'. 'The first book printed at Battle?' (BLPC); but compare <a href=""titleDetails.asp?title=1816A035""><i>Melmoth House</i></a> (EN2 1816: 36). Collates in sixes",,,x,
1427,GARSIDE1800-1829,20100817,1819A055,"Vampyre, The",John William POLIDORI,1819,goth,Male,,THE VAMPYRE; A TALE,"London:                     Printed for Sherwood, Neely, and Jones, Paternoster-Row, 1819","1 vol.  (xxv, 84p). 8&deg;",Corvey; CME 3-628-51148-8; ECB 90; EN2 1819: 55; NSTC 2P20559; OCLC 1904059,"[Entered at Stationers' Hall, March 27, 1819.]' after imprint date. 'Extract from a Letter to Geneva', with t.p. 'Extract of a Letter to the Editor', pp. [vii]&ndash;xvi. Introduction, pp. [xix]&ndash;xxv. Continuous roman and arabic pagination in vol. 1, with tale beginning at p. [27]. 'Extract of a Letter, containing an Account of Lord Byron's Residence in the Island of Mitylene', introduced by separate t.p., pp. [75]&ndash;84: this has been ascribed to John Mitford, R.N. The story was also published in the <i>New Monthly Magazine</i>, Apr 1819, and attributed by the publisher to Byron; subsequently repudiated by him, and claimed by Polidori. ECB lists as by Byron. OCLC 1904043 describes another 1819 edn with the imprint of John Miller, London; this is described as 46 pp in length. For further details concerning the early publication history, see Publishing Papers (click on link below)","[1830?] (NSTC); Albany, NY, 1819 (OCLC) [also Boston 1819 (OCLC); New York 1819 (OCLC); Philadelphia 1819 (OCLC)]; French trans., 1819; German trans., 1819",,x,
1468,GARSIDE1800-1829,20100817,1820A023,Sintram and his Companions,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1820,goth,Male,Julius Charles HARE,"SINTRAM AND HIS COMPANIONS: A ROMANCE. FROM THE GERMAN OF FREDERIC BARON DE LA MOTTE FOUQU&#201;, AUTHOR OF UNDINE, &C","London:                     C. and J. Ollier, Vere Street, Bond Street; and William Blackwood, Edinburgh, 1820","1 vol.  (xiv, 267p). 12&deg;",BL 12547.c.11; EN2 1820: 23; NSTC 2L2874; OCLC 20010620,"Trans. of <i>Sintram und seine Gef&auml;hrten</i> (Vienna, 1815)","NSTC includes 4 edns., between 1841 and 1848, at least two of which are another trans",,x,
1495,GARSIDE1800-1829,20100817,1820A050,Melmoth the Wanderer,Charles Robert MATURIN,1820,goth,Male,,"MELMOTH THE WANDERER: A TALE. BY THE AUTHOR OF ""BERTRAM,"" &C. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Company, and Hurst, Robinson, and Co. Cheapside, London, 1820","4 vols (I xii, 341p; II 321p; III 368p; IV 453p). 12&deg;",Corvey; CME 3-628-48054-X; ECB 378; EN2 1820: 51; NSTC 2M20497; OCLC 4540321,"Dedication to Mrs Smith, Fitzwilliam Street, Dublin",,x,,x
1506,GARSIDE1800-1829,20100817,1820A061,"Abbot, The",Sir Walter SCOTT,1820,goth,Male,,"THE ABBOT. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed for Longman, Hurst, Rees, Orme, and Brown, London; and for Archibald Constable and Company, and John Ballantyne, 1820","3 vols (I iv, 348p; II 351p; III 367p). 12&deg;","Corvey, CME 3-628-48545-2; ECB 1; EN2 1820: 62; NSTC 2S9409; OCLC 777337",,"Boston 1820 (OCLC) [also New York 1820 (OCLC); Philadelphia 1820 (OCLC)]; French trans., 1820; German trans., 1821 [as <i>Der Abt, ein romantisches Gem&auml;hlde</i> (RS). Numerous reprintings in collected edns",,x,
1507,GARSIDE1800-1829,20100817,1820A062,Ivanhoe,Sir Walter SCOTT,1820,goth,Male,,"IVANHOE; A ROMANCE. BY ""THE AUTHOR OF WAVERLEY,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co; and Hurst, Robinson, and Co. 90, Cheapside, London, 1820","3 vols (I xxxiii, 298p; II 327p; III 371p). 8&deg;",BL 247.e.25&ndash;7; ECB 303; EN2 1820: 63; NSTC 2S9692; OCLC 20010815,,"2nd edn 1820 (Corvey); 3rd edn 1821 (CBEL3); Boston 1820 (OCLC) [also New York (OCLC); Philadelphia 1820 (OCLC)]; French trans., 1820 [as <i>IvanhoÞ¸, ou le retour du croisÞ¸</i> (CCFR); German trans., 1820. Numerous reprintings in collected edns",,x,
1508,GARSIDE1800-1829,20100817,1820A063,"Monastery, The",Sir Walter SCOTT,1820,goth,Male,,"THE MONASTERY. A ROMANCE. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed for Longman, Hurst, Rees, Orme, and Brown, London; and for Archibald Constable and Co., and John Ballantyne, Bookseller to the King, 1820",3 vols (I 331p; II 330p; III 351p). 12&deg;,Corvey; CME 3-628-48578-9; ECB 391; EN2 1820: 64; NSTC 2S10043; OCLC 1331650,,"2nd edn' 1820 (CBEL3); Boston 1820 (OCLC) [also New York 1820 (OCLC); Philadelphia 1820 (OCLC)]; French trans., 1820; German trans., 1821. Numerous reprintings in collected edns",,x,
1549,GARSIDE1800-1829,20100817,1821A034,Annals of the Parish,John GALT,1821,goth,Male,,"ANNALS OF THE PARISH; OR THE CHRONICLE OF DALMAILING; DURING THE MINISTRY OF THE REV. MICAH BALWHIDDER. WRITTEN BY HIMSELF. ARRANGED AND EDITED BY THE AUTHOR OF ""THE AYRSHIRE LEGATEES,"" &C","Edinburgh:                     Printed for William Blackwood; and T. Cadell, Strand, London, 1821",1 vol.  (400p). 12&deg;,Corvey; CME 3-628-47063-3; ECB 222; EN2 1821: 36; NSTC 2G1353; OCLC 4294086,,"2nd edn 1822 (NSTC); 1841 (NSTC); 1844 (NSTC); 1845 (NSTC); 1850 (NSTC); Philadelphia 1821 (NSTC); German trans., 1824",,x,
1550,GARSIDE1800-1829,20100817,1821A035,"Ayrshire Legatees, The",John GALT,1821,goth,Male,,"THE AYRSHIRE LEGATEES; OR, THE PRINGLE FAMILY. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" &C","Edinburgh:                     Printed for William Blackwood, and T. Cadell, Strand, London, 1821",1 vol.  (303p). 12&deg;,Corvey; CME 3-628-47088-9; EN2 1821: 37; NSTC 2G1357; OCLC 3041402,Page facing t.p. bears the legend 'Originally published in Blackwood's Edinburgh Magazine',"2nd edn (with <i>The Gathering of the West</i>) 1823 (NSTC); 1841 (with <i>Annals of the Parish</i>) (NSTC); 1850 (NSTC); New York 1823 (NSTC); German trans., 1823 [as <i>Die Erben, ein Familiengem&auml;lde</i> (RS)]",,x,
1570,GARSIDE1800-1829,20100817,1821A055,"Irish Necromancer, The",Thomas Henry MARSHAL,1821,?|potgoth,Male,,"THE IRISH NECROMANCER; OR, DEER PARK. A NOVEL. IN THREE VOLUMES. BY THOMAS HENRY MARSHAL","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1821",3 vols (I 250p; II 243p; III 225p). 12&deg;,Corvey; CME 3-628-48092-2; ECB 300; EN2 1821: 59; NSTC 2M16082; OCLC 13335248,"Vol. 4 t.p. mistakenly reads 'Volume the First', which is corrected in hand in the Bodleian copy",,x,,
1578,GARSIDE1800-1829,20100817,1821A063,Kenilworth,Sir Walter SCOTT,1821,goth,Male,,"KENILWORTH; A ROMANCE. BY THE AUTHOR OF ""WAVERLEY,"" ""IVANHOE,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and John Ballantyne; and Hurst, Robinson, and Co., London, 1821",3 vols (I 320p; II 339p; III 348p). 8&deg;,Corvey; CME 3-628-48582-7; ECB 318; EN2 1821: 64; NSTC 2S9760; OCLC 2023263,,"2nd edn 1821 (NSTC); Boston 1821 (OCLC) [also New York 1821 (OCLC); Philadelphia 1821 (OCLC)]; French trans., 1821 [as <i>Le ChÞ½teau de Kenilworth</i> (CCFR)]; German trans., 1821. Numerous reprintings in collected edns",,x,
1621,GARSIDE1800-1829,20100817,1822A031,"Provost, The",John GALT,1822,goth,Male,,THE PROVOST. BY THE AUTHOR OF ANNALS OF THE PARISH; AYRSHIRE LEGATEES; AND SIR ANDREW WYLIE,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1822",1 vol.  (360p). 12&deg;,E Hall.197.e; ECB 222; EN2 1822: 32; NSTC 2G1392; OCLC 2748214,"Dedication 'to Robert Downie, of Appin, Esquire, M.P. from his friend, the Author'","2nd edn 1822 (Corvey, NSTC); 'new edn' 1842, as <i>The Provost, and other tales</i> (OCLC); New York 1822 (NSTC); French trans., 1824",,x,
1634,GARSIDE1800-1829,20100817,1822A044,"Three Perils of Man, The",James HOGG,1822,goth,Male,,"THE THREE PERILS OF MAN; OR, WAR, WOMEN, AND WITCHCRAFT. A BORDER ROMANCE. BY JAMES HOGG, AUTHOR OF ""WINTER-EVENING TALES,"" ""BROWNIE OF BODSBECK,"" ""QUEEN'S WAKE,"" &C. &C. IN THREE VOLUMES","London:                     Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1822",3 vols (I 341p; II 353p; III 449p). 12&deg;,Corvey; CME 3-628-47697-6; ECB 276; EN2 1822: 44; NSTC 2H25728; OCLC 27902346,"John Moir, Printer, Edinburgh, 1822' on verso of t.ps. Dedication 'to William Stewart Rose, Esq. as a small menorial of Yarrow, and the Shepherd's humble sheil'",,,x,
1636,GARSIDE1800-1829,20100817,1822A046,Bracebridge Hall,Washington IRVING,1822,goth,Male,,"BRACEBRIDGE HALL; OR, THE HUMORISTS. BY GEOFFREY CRAYON, GENT. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1822","2 vols (I iv, 393p; II iv, 404p). 12&deg;",Corvey; ECB 301; EN2 1822: 46; NSTC 2C42718; OCLC 276071,"Also published New York 1822, simultaneously with the London edn (Blanck)","New edn 1823 (OCLC); 1824 (NSTC); 1845 (NSTC); 1848 (NSTC); 1850 (NSTC); New York 1822 (NSTC); French trans., 1822; German trans., 1822&ndash;23",,x,
1655,GARSIDE1800-1829,20100817,1822A065,"Fortunes of Nigel, The",Sir Walter SCOTT,1822,goth,Male,,"THE FORTUNES OF NIGEL. BY THE AUTHOR OF ""WAVERLEY, KENILWORTH,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co., London, 1822","3 vols (I xlviii, 313p; II 334p; III 349p). 8&deg;",Corvey; CME 3-628-48577-0; ECB 212; EN2 1822: 66; NSTC 2S9583; OCLC 38981912,"Introductory Epistle' signed 'Cuthbert Clutterbuck', Kennaquhair, 1 Apr 1822","2nd edn' 1822 (CBEL3); '3rd edn' 1822 (CBEL3); Albany, NY, 1822 (OCLC) [also Boston 1822 (OCLC); New York 1822 (OCLC); Philadelphia 1822 (OCLC)]; French trans., 1822; German trans., 1822. Numerous reprintings in collected edns",,x,
1656,GARSIDE1800-1829,20100817,1822A066,Peveril of the Peak,Sir Walter SCOTT,1822,goth,Male,,"PEVERIL OF THE PEAK. BY THE AUTHOR OF ""WAVERLEY, KENILWORTH,"" &C. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1822","4 vols (I xxxii, 302p; II 319p; III 315p; IV 320p). 8&deg;",Corvey; CME 3-628-48579-7; ECB 444; EN2 1822: 67; NSTC 2S10093; OCLC 2392685,"Prefatory Letter' signed 'Jonas Driasdust', Michaelmas-day, 1822, York","2nd edn' 1823 (CBEL3); Boston 1823 (OCLC) [also New York 1823 (OCLC); Philadelphia 1822 (OCLC)]; German trans., 1822 [as <i>Ritter Gottfried Peveril; eine romantische Darstellung</i> (RS)]; French trans., 1823&ndash;24. Numerous reprintings in collected edns",,x,
1694,GARSIDE1800-1829,20100817,1823A022,Peter Schlemihl,Adelbert von CHAMISSO,1823,goth,Male,Sir John BOWRING,PETER SCHLEMIHL: FROM THE GERMAN OF LAMOTTE FOUQU&#201;. WITH PLATES BY GEORGE CRUICKSHANK,"London:                     G. and W. B. Whittaker, Ave-Maria Lane, 1823","1 vol.  (xii, 165p, ill.). 12&deg;",MH HEW.3.9.6; ECB 213; EN2 1823: 26; NSTC 2C14268; OCLC 3689706,"Trans. of <i>Peter Schlemihls wundersame Geschichte</i> (N&uuml;rnberg, 1814), ed. by Friedrich de la Motte FouquÞ¸","1st edn 2nd issue 1824 (NSTC); 1st edn 3rd issue 1824 (NSTC); 2nd edn 1824 (NSTC); 1843 (another trans., as <i>The Wonderful History of Peter Schlemihl</i> (OCLC);  Boston 1824 (NSTC)",,x,
1703,GARSIDE1800-1829,20100817,1823A031,Ringan Gilhaize,John GALT,1823,goth,Male,,"RINGAN GILHAIZE; OR THE COVENANTERS. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" ""SIR ANDREW WYLIE,"" ""THE ENTAIL,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Oliver & Boyd, High Street; and G. & W. B. Whittaker, London, 1823",3 vols (I 308p; II 324p; III 323p). 12&deg;,Corvey; CME 3-628-48608-4; ECB 494; EN2 1823: 34; NSTC 2G1396; OCLC 22949383,,1832 (OCLC); New York 1823 (NSTC),,x,
1746,GARSIDE1800-1829,20100817,1823A074,Quentin Durward,Sir Walter SCOTT,1823,goth,Male,,"QUENTIN DURWARD. BY THE AUTHOR OF ""WAVERLEY, PEVERIL OF THE PEAK,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1823","3 vols (I lxiii, 273p; II 331p; III 360p). 8&deg;",Corvey; CME 3-628-48583-5; ECB 476; EN2 1823: 74; NSTC 2S10140; OCLC 12529814,,"2nd edn' 1823 (CBEL3); Boston 1823 (OCLC) [also New York 1823 (OCLC); Philadelphia 1823 (OCLC)]; French trans., 1823; German trans., 1823. Numerous reprintings in collected edns",,x,
1799,GARSIDE1800-1829,20100817,1824A040,Wilhelm Meister's Apprenticeship,Johann Wolfgang von GOETHE,1824,goth,Male,Thomas CARLYLE,WILHELM MEISTER'S APPRENTICESHIP. A NOVEL. FROM THE GERMAN OF GOETHE. IN THREE VOLUMES,"Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and G. & W. B. Whittaker, London, 1824","3 vols (I xviii, 324p; II 351p; III 294p). 8&deg;",BL 12550.g.23; ECB 235; EN2 1824: 40; NSTC 2G11798; OCLC 2533996,"Trans. of <i>Wilhelm Meisters Lehrjahre</i> (Berlin, 1794)",1828 (NSTC); 1829 (OCLC); London 1839 (NSTC); London 1842 (NSTC); Boston 1828 (OCLC),,x,
1806,GARSIDE1800-1829,20100817,1824A047,"Devil's Elixir, The",Ernst Theodor Amadeus HOFFMANN,1824,goth,Male,Robert Pierce GILLIES,THE DEVIL'S ELIXIR. FROM THE GERMAN OF E. T. A. HOFFMANN,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1824","2 vols (I vii, 379p; II 339p). 12&deg;",BL N.230; ECB 275; EN2 1824: 47; NSTC 2H25417; OCLC 6792820,"Trans. of <i>Die Elixiere des Teufels</i> (Berlin, 1815&ndash;16). Translator's Preface dated Edinburgh, 5 June 1824",1829 (OCLC),,x,
1809,GARSIDE1800-1829,20100817,1824A050,"Private Memoirs and Confessions of a Justified Sinner, The",James HOGG,1824,goth,Male,,"THE PRIVATE MEMOIRS AND CONFESSIONS OF A JUSTIFIED SINNER: WRITTEN BY HIMSELF: WITH A DETAIL OF CURIOUS TRADITIONARY FACTS, AND OTHER EVIDENCE, BY THE EDITOR","London:                     Printed for Longman, Hurst, Rees, Orme, Brown, and Green, Paternoster Row, 1824",1 vol.  (390p). 8&deg;,Corvey; CME 3-628-47313-6; ECB 471; EN2 1824: 50; NSTC 2M24211; OCLC 8264736,"Dedication 'to the Hon. William Smith, Lord Provost of Glasgow'. Printer's mark, verso of t.p., reads: 'Edinburgh: printed by James Clarke and Co. 1824'. 'Fac Simile' between pp. 366 and 367; though in other copies seen (e.g. E Hall.201.e) this appears as a frontispiece","Reissued (replacement t.p.) as <i>The Suicide's Grave; or, Memoirs and Confessions of a Sinner</i>, 'edited by J. Hogg', Edinburgh 1828 (Selkirk, Borders Regional Library)",,x,
